,-1.90,-1.90
2760,-0.06,-0.06
2765,0.08,0.08
2769,0.19,0.19
2774,0.27,0.27
2778,0.35,0.35
2782,0.40,0.40
2786,0.47,0.47
2790,0.54,0.54
2794,0.62,0.62
2798,0.75,0.75
2802,0.77,0.77
2806,0.90,0.90
2810,1.02,1.02
2814,1.13,1.13
2820,1.24,1.24
2824,1.37,1.37
2828,1.51,1.51
2832,1.70,1.70
2836,1.85,1.85
2840,1.99,1.99
2844,2.00,2.00
2848,2.00,2.00
2852,2.00,2.00
2856,2.00,2.00
2861,2.00,2.00
2865,2.00,2.00
2869,2.00,2.00
2873,2.00,2.00
2877,2.00,2.00
2881,2.00,2.00
2886,2.00,2.00
2890,1.93,1.93
2894,1.87,1.87
2898,1.83,1.83
2903,1.79,1.79
2907,1.74,1.74
2911,1.65,1.65
2915,1.53,1.53
2919,1.41,1.41
2923,1.26,1.26
2927,1.10,1.10
2931,0.92,0.92
2935,0.66,0.66
2939,0.46,0.46
2944,0.24,0.24
2948,0.03,0.03
2953,-0.18,-0.18
2957,-0.44,-0.44
2962,-0.66,-0.66
2966,-0.80,-0.80
2971,-0.96,-0.96
2975,-1.10,-1.10
2980,-1.20,-1.20
2985,-1.29,-1.29
2990,-1.38,-1.38
2995,-1.46,-1.46
2999,-1.60,-1.60
3004,-1.68,-1.68
3008,-1.79,-1.79
3013,-1.90,-1.90
3018,-2.00,-2.00
3022,-2.00,-2.00
3027,-2.00,-2.00
3032,-2.00,-2.00
3037,-2.00,-2.00
3041,-2.00,-2.00
3046,-2.00,-2.00
3050,-2.00,-2.00
3055,-2.00,-2.00
3060,-1.93,-1.93
3064,-1.89,-1.89
3069,-1.86,-1.86
3074,-1.83,-1.83
3079,-1.81,-1.81
3084,-1.79,-1.79
3088,-1.78,-1.78
3093,-1.78,-1.78
3097,-1.79,-1.79
3102,-1.80,-1.80
3106,-1.83,-1.83
3111,-1.86,-1.86
3116,-1.91,-1.91
3121,-1.96,-1.96
3126,-1.99,-1.99
3130,-2.00,-2.00
3135,-2.00,-2.00
3139,-2.00,-2.00
3144,-2.00,-2.00
3148,-2.00,-2.00
3153,-2.00,-2.00
3159,-2.00,-2.00
3163,-1.95,-1.95
3168,-1.87,-1.87
3172,-1.75,-1.75
3177,-1.61,-1.61
3181,-1.45,-1.45
3186,-1.32,-1.32
3191,-1.12,-1.12
3195,-0.90,-0.90
3201,-0.71,-0.71
3205,-0.45,-0.45
3210,-0.18,-0.18
3214,0.04,0.04
3219,0.25,0.25
3223,0.49,0.49
3227,0.66,0.66
3231,0.79,0.79
3235,0.89,0.89
3239,0.99,0.99
3244,0.98,0.98
3248,0.98,0.98
3252,1.04,1.04
3256,1.10,1.10
3260,1.18,1.18
3264,1.28,1.28
3268,1.42,1.42
3272,1.57,1.57
3276,1.77,1.77
3280,1.93,1.93
3286,2.00,2.00
3290,2.00,2.00
3294,2.00,2.00
3298,2.00,2.00
3302,2.00,2.00
3306,2.00,2.00
3310,2.00,2.00
3314,1.97,1.97
3318,1.85,1.85
3322,1.74,1.74
3326,1.65,1.65
3331,1.61,1.61
3335,1.59,1.59
3339,1.57,1.57
3343,1.55,1.55
3347,1.54,1.54
3352,1.52,1.52
3356,1.50,1.50
3360,1.48,1.48
3364,1.45,1.45
3368,1.43,1.43
3373,1.40,1.40
3377,1.34,1.34
3381,1.27,1.27
3385,1.19,1.19
3389,1.08,1.08
3393,0.95,0.95
3397,0.81,0.81
3401,0.64,0.64
3405,0.41,0.41
3409,0.19,0.19
3414,-0.05,-0.05
3419,-0.35,-0.35
3424,-0.59,-0.59
3428,-0.86,-0.86
3433,-1.09,-1.09
3437,-1.22,-1.22
3442,-1.35,-1.35
3446,-1.44,-1.44
3451,-1.51,-1.51
3457,-1.62,-1.62
3461,-1.69,-1.69
3466,-1.74,-1.74
3470,-1.81,-1.81
3475,-1.87,-1.87
3479,-1.93,-1.93
3484,-2.00,-2.00
3489,-2.00,-2.00
3493,-2.00,-2.00
3499,-2.00,-2.00
3503,-2.00,-2.00
3508,-2.00,-2.00
3512,-2.00,-2.00
3517,-2.00,-2.00
3522,-2.00,-2.00
3526,-2.00,-2.00
3531,-2.00,-2.00
3535,-2.00,-2.00
3540,-2.00,-2.00
3545,-2.00,-2.00
3550,-2.00,-2.00
3555,-2.00,-2.00
3559,-2.00,-2.00
3564,-2.00,-2.00
3568,-2.00,-2.00
3573,-2.00,-2.00
3577,-2.00,-2.00
3582,-2.00,-2.00
3588,-2.00,-2.00
3592,-2.00,-2.00
3597,-2.00,-2.00
3601,-2.00,-2.00
3606,-2.00,-2.00
3610,-2.00,-2.00
3615,-1.92,-1.92
3620,-1.79,-1.79
3624,-1.67,-1.67
3630,-1.52,-1.52
3634,-1.33,-1.33
3639,-1.12,-1.12
3643,-0.95,-0.95
3648,-0.72,-0.72
3653,-0.48,-0.48
3657,-0.28,-0.28
3662,-0.02,-0.02
3666,0.23,0.23
3671,0.42,0.42
3675,0.58,0.58
3679,0.73,0.73
3684,0.85,0.85
3688,0.97,0.97
3692,1.09,1.09
3696,1.14,1.14
3700,1.25,1.25
3704,1.32,1.32
3708,1.42,1.42
3713,1.50,1.50
3717,1.63,1.63
3721,1.74,1.74
3725,1.86,1.86
3729,1.99,1.99
3733,2.00,2.00
3737,2.00,2.00
3741,2.00,2.00
3745,2.00,2.00
3750,2.00,2.00
3755,2.00,2.00
3759,2.00,2.00
3763,2.00,2.00
3767,2.00,2.00
3771,2.00,2.00
3775,1.87,1.87
3779,1.73,1.73
3783,1.60,1.60
3787,1.47,1.47
3791,1.35,1.35
3795,1.24,1.24
3800,1.18,1.18
3804,1.14,1.14
3808,1.11,1.11
3812,1.10,1.10
3817,1.09,1.09
3821,1.07,1.07
3825,0.98,0.98
3829,0.87,0.87
3833,0.70,0.70
3837,0.50,0.50
3842,0.27,0.27
3846,0.02,0.02
3850,-0.28,-0.28
3855,-0.52,-0.52
3859,-0.80,-0.80
3864,-1.04,-1.04
3868,-1.19,-1.19
3873,-1.31,-1.31
3877,-1.38,-1.38
3883,-1.42,-1.42
3888,-1.43,-1.43
3892,-1.44,-1.44
3897,-1.46,-1.46
3901,-1.50,-1.50
3906,-1.61,-1.61
3910,-1.63,-1.63
3915,-1.73,-1.73
3920,-1.84,-1.84
3924,-1.93,-1.93
3930,-2.00,-2.00
3934,-2.00,-2.00
3939,-2.00,-2.00
3943,-2.00,-2.00
3948,-2.00,-2.00
3953,-2.00,-2.00
3957,-2.00,-2.00
3962,-2.00,-2.00
3966,-2.00,-2.00
3972,-2.00,-2.00
3976,-2.00,-2.00
3981,-2.00,-2.00
3986,-2.00,-2.00
3990,-2.00,-2.00
3995,-2.00,-2.00
3999,-2.00,-2.00
4004,-1.98,-1.98
4008,-1.94,-1.94
4014,-1.90,-1.90
4019,-1.86,-1.86
4023,-1.82,-1.82
4028,-1.78,-1.78
4032,-1.70,-1.70
4037,-1.59,-1.59
4041,-1.48,-1.48
4046,-1.32,-1.32
4051,-1.14,-1.14
4056,-0.97,-0.97
4061,-0.75,-0.75
4065,-0.53,-0.53
4070,-0.32,-0.32
4074,-0.17,-0.17
4079,0.00,0.00
4083,0.13,0.13
4087,0.26,0.26
4091,0.38,0.38
4096,0.52,0.52
4100,0.64,0.64
4104,0.72,0.72
4108,0.81,0.81
4112,0.95,0.95
4117,1.05,1.05
4121,1.21,1.21
4125,1.38,1.38
4129,1.52,1.52
4133,1.64,1.64
4137,1.76,1.76
4142,1.86,1.86
4146,1.95,1.95
4150,2.00,2.00
4154,2.00,2.00
4158,2.00,2.00
4162,2.00,2.00
4166,2.00,2.00
4170,2.00,2.00
4174,2.00,2.00
4178,2.00,2.00
4184,2.00,2.00
4188,1.96,1.96
4192,1.84,1.84
4196,1.72,1.72
4200,1.56,1.56
4204,1.45,1.45
4208,1.35,1.35
4212,1.27,1.27
4216,1.20,1.20
4220,1.15,1.15
4225,1.10,1.10
4229,1.06,1.06
4233,1.04,1.04
4237,1.02,1.02
4241,1.00,1.00
4245,0.96,0.96
4250,0.90,0.90
4254,0.79,0.79
4258,0.67,0.67
4262,0.53,0.53
4267,0.36,0.36
4271,0.18,0.18
4275,-0.02,-0.02
4279,-0.26,-0.26
4284,-0.51,-0.51
4289,-0.69,-0.69
4293,-0.89,-0.89
4298,-1.07,-1.07
4302,-1.20,-1.20
4307,-1.33,-1.33
4312,-1.44,-1.44
4317,-1.58,-1.58
4322,-1.66,-1.66
4326,-1.80,-1.80
4331,-1.94,-1.94
4335,-2.00,-2.00
4340,-2.00,-2.00
4344,-2.00,-2.00
4349,-2.00,-2.00
4355,-2.00,-2.00
4359,-2.00,-2.00
4364,-2.00,-2.00
4368,-2.00,-2.00
4373,-2.00,-2.00
4377,-2.00,-2.00
4382,-2.00,-2.00
4387,-2.00,-2.00
4391,-2.00,-2.00
4397,-2.00,-2.00
4401,-2.00,-2.00
4406,-2.00,-2.00
4410,-2.00,-2.00
4415,-2.00,-2.00
4420,-1.99,-1.99
4424,-2.00,-2.00
4429,-2.00,-2.00
4433,-2.00,-2.00
4439,-2.00,-2.00
4443,-2.00,-2.00
4448,-2.00,-2.00
4453,-2.00,-2.00
4457,-1.97,-1.97
4462,-1.93,-1.93
4466,-1.89,-1.89
4471,-1.82,-1.82
4475,-1.73,-1.73
4481,-1.64,-1.64
4486,-1.50,-1.50
4490,-1.35,-1.35
4495,-1.20,-1.20
4499,-1.00,-1.00
4504,-0.79,-0.79
4508,-0.61,-0.61
4513,-0.40,-0.40
4518,-0.21,-0.21
4523,-0.08,-0.08
4528,0.07,0.07
4532,0.18,0.18
4536,0.29,0.29
4540,0.42,0.42
4544,0.54,0.54
4548,0.65,0.65
4552,0.77,0.77
4556,0.87,0.87
4560,1.01,1.01
4564,1.21,1.21
4569,1.36,1.36
4573,1.51,1.51
