,1.26,1.26
2757,1.29,1.29
2761,1.40,1.40
2765,1.47,1.47
2769,1.53,1.53
2774,1.58,1.58
2778,1.62,1.62
2782,1.64,1.64
2786,1.63,1.63
2790,1.61,1.61
2794,1.57,1.57
2798,1.50,1.50
2802,1.43,1.43
2806,1.35,1.35
2810,1.24,1.24
2814,1.11,1.11
2820,0.99,0.99
2824,0.81,0.81
2828,0.61,0.61
2832,0.37,0.37
2836,0.12,0.12
2840,-0.18,-0.18
2844,-0.43,-0.43
2849,-0.70,-0.70
2854,-0.78,-0.78
2859,-0.95,-0.95
2864,-1.13,-1.13
2868,-1.27,-1.27
2873,-1.39,-1.39
2877,-1.56,-1.56
2882,-1.69,-1.69
2887,-1.79,-1.79
2891,-1.88,-1.88
2896,-1.96,-1.96
2900,-2.00,-2.00
2906,-2.00,-2.00
2910,-2.00,-2.00
2915,-2.00,-2.00
2920,-2.00,-2.00
2924,-2.00,-2.00
2929,-2.00,-2.00
2933,-2.00,-2.00
2938,-2.00,-2.00
2942,-2.00,-2.00
2948,-2.00,-2.00
2952,-2.00,-2.00
2957,-2.00,-2.00
2962,-2.00,-2.00
2966,-2.00,-2.00
2971,-1.95,-1.95
2975,-1.93,-1.93
2980,-1.91,-1.91
2985,-1.90,-1.90
2990,-1.91,-1.91
2995,-1.93,-1.93
2999,-1.90,-1.90
3004,-1.83,-1.83
3008,-1.77,-1.77
3013,-1.98,-1.98
3017,-2.00,-2.00
3022,-2.00,-2.00
3027,-2.00,-2.00
3032,-2.00,-2.00
3037,-2.00,-2.00
3041,-2.00,-2.00
3046,-2.00,-2.00
3050,-2.00,-2.00
3055,-1.94,-1.94
3060,-1.79,-1.79
3064,-1.62,-1.62
3069,-1.44,-1.44
3074,-1.25,-1.25
3079,-1.07,-1.07
3083,-0.84,-0.84
3088,-0.58,-0.58
3093,-0.35,-0.35
3097,-0.04,-0.04
3102,0.25,0.25
3106,0.49,0.49
3110,0.73,0.73
3115,0.95,0.95
3119,1.20,1.20
3123,1.49,1.49
3127,2.00,2.00
3131,2.00,2.00
3135,2.00,2.00
3139,2.00,2.00
3143,2.00,2.00
