,0.43
15980,-0.11
15994,0.11
16007,0.31
16019,0.64
16031,0.56
16044,0.46
16056,0.42
16069,0.37
16081,0.28
16094,0.18
16106,0.23
16118,0.11
16132,0.05
16144,0.02
16156,0.02
16168,0.04
16181,0.05
16194,0.09
16206,0.11
16219,0.15
16231,0.28
16243,0.37
16256,0.17
16269,0.39
16281,0.40
16293,0.33
16306,0.24
16318,0.08
16331,-0.10
16345,-0.26
16358,-0.29
16371,-0.42
16385,-0.51
16399,-0.55
16412,-0.55
16425,-0.46
16439,-0.33
16452,-0.30
16466,-0.29
16480,-0.18
16493,0.18
16505,0.48
16518,0.45
16531,0.43
16543,0.39
16556,0.28
16568,0.17
16580,0.21
16593,0.15
16606,0.14
16618,0.12
16630,0.14
16643,0.15
16655,0.17
16668,0.21
16680,0.28
16693,0.40
16705,0.49
16717,0.62
16731,0.55
16743,0.40
16755,0.17
16768,-0.04
16781,-0.16
16795,-0.39
16808,-0.48
16822,-0.55
16835,-0.62
16848,-0.62
16863,-0.61
16876,-0.55
16889,-0.51
16903,-0.45
16916,-0.42
16930,-0.39
16944,-0.11
16957,0.52
16969,0.59
16982,0.61
16995,0.58
17007,0.50
17019,0.39
17032,0.56
17044,0.24
17056,0.23
17070,0.21
17082,0.20
17094,0.18
17106,0.23
17119,0.23
17132,0.21
17144,0.31
17157,0.43
17169,0.49
17181,0.43
17195,0.49
17207,0.42
17219,0.21
17231,0.08
17244,-0.02
17257,-0.07
17271,-0.26
17285,-0.36
17298,-0.45
17311,-0.51
17326,-0.48
17339,-0.48
17352,-0.45
17366,-0.36
17379,-0.30
17393,-0.29
17406,-0.42
17420,-0.23
17433,0.31
17445,0.42
17459,0.52
17471,0.53
17483,0.48
17496,0.40
17508,0.30
17520,0.37
17533,0.27
17546,0.24
17558,0.28
17570,0.31
17583,0.31
17596,0.28
17608,0.30
17620,0.40
17633,0.49
17645,0.43
17658,0.45
17671,0.30
17683,0.08
17695,-0.13
17709,-0.20
17722,-0.29
17736,-0.48
17750,-0.55
17763,-0.62
17776,-0.62
17789,-0.64
17804,-0.67
17817,-0.64
17830,-0.61
17844,-0.57
17858,-0.51
17871,-0.60
17885,-0.46
17898,-0.02
17911,0.46
17925,0.61
17937,0.64
17949,0.59
17961,0.52
17974,0.46
17986,0.40
17999,0.28
18012,0.33
18024,0.36
18036,0.37
18049,0.36
18062,0.36
18074,0.45
18086,0.55
18099,0.62
18111,0.68
18124,0.67
18137,0.49
18149,0.28
18161,-0.07
18174,-0.40
18188,-0.45
18202,-0.65
18215,-0.70
18229,-0.80
18242,-0.83
18255,-0.86
18270,-0.84
18283,-0.80
18296,-0.82
18310,-0.82
18324,-0.80
18337,-0.74
18351,-0.62
18364,-0.21
18377,0.06
18391,0.58
18403,0.70
18415,0.78
18427,0.74
18440,0.67
18452,0.55
18465,0.49
18478,0.49
18490,0.33
18502,0.40
18514,0.43
18528,0.50
18540,0.52
18552,0.55
18565,0.65
18577,0.80
18590,0.81
18603,0.75
18615,0.62
18627,0.36
18639,0.08
18652,-0.16
18666,-0.20
18679,-0.35
18693,-0.49
18706,-0.61
18719,-0.76
18734,-0.82
18747,-0.83
18760,-0.80
18774,-0.77
18787,-0.74
18801,-0.73
18814,-0.74
18828,-0.76
18841,-0.55
18854,-0.08
18869,0.34
18881,0.64
18893,0.75
18906,0.80
