,1.62,1.62
3986,2.00,2.00
3990,2.00,2.00
3994,1.92,1.92
3998,1.75,1.75
4002,1.55,1.55
4006,1.37,1.37
4011,1.32,1.32
4015,1.20,1.20
4019,1.27,1.27
4023,1.27,1.27
4027,1.26,1.26
4031,1.28,1.28
4035,1.25,1.25
4039,1.25,1.25
4043,1.23,1.23
4047,1.23,1.23
4052,1.24,1.24
4057,1.24,1.24
4061,1.29,1.29
4065,1.21,1.21
4069,1.18,1.18
4073,1.11,1.11
4077,1.04,1.04
4081,0.93,0.93
4085,0.77,0.77
4089,0.60,0.60
4093,0.34,0.34
4098,0.14,0.14
4102,-0.23,-0.23
4107,-0.53,-0.53
4111,-0.67,-0.67
4116,-0.97,-0.97
4121,-1.39,-1.39
4125,-1.69,-1.69
4130,-1.85,-1.85
4134,-2.00,-2.00
4140,-2.00,-2.00
4144,-2.00,-2.00
4149,-2.00,-2.00
4154,-2.00,-2.00
4158,-2.00,-2.00
4163,-2.00,-2.00
4167,-2.00,-2.00
4172,-2.00,-2.00
4176,-1.93,-1.93
4182,-1.67,-1.67
4187,-1.48,-1.48
4191,-1.44,-1.44
4196,-1.51,-1.51
4200,-1.73,-1.73
4205,-2.00,-2.00
4209,-2.00,-2.00
4214,-2.00,-2.00
4219,-2.00,-2.00
4224,-2.00,-2.00
4229,-2.00,-2.00
4233,-2.00,-2.00
4238,-1.84,-1.84
4242,-1.72,-1.72
4247,-1.60,-1.60
4252,-1.66,-1.66
4256,-1.90,-1.90
4261,-2.00,-2.00
4265,-2.00,-2.00
4271,-2.00,-2.00
4275,-2.00,-2.00
4280,-1.99,-1.99
4285,-1.96,-1.96
4289,-1.89,-1.89
4294,-1.79,-1.79
4298,-1.73,-1.73
4303,-1.62,-1.62
4307,-1.51,-1.51
4313,-1.40,-1.40
4318,-1.26,-1.26
4322,-1.09,-1.09
4327,-0.97,-0.97
4331,-0.71,-0.71
4336,-0.41,-0.41
4340,-0.13,-0.13
4345,0.04,0.04
4349,0.49,0.49
4354,1.09,1.09
4358,1.28,1.28
