,-0.57,-0.57
3095,-1.59,-1.59
3099,-1.47,-1.47
3104,-1.32,-1.32
3109,-1.16,-1.16
3113,-0.92,-0.92
3119,-0.64,-0.64
3123,-0.28,-0.28
3128,0.11,0.11
3132,0.42,0.42
3136,0.75,0.75
3140,1.18,1.18
3144,1.41,1.41
3148,1.63,1.63
3152,1.83,1.83
3156,2.00,2.00
3161,2.00,2.00
3165,2.00,2.00
3170,2.00,2.00
3174,2.00,2.00
3178,2.00,2.00
3182,2.00,2.00
3186,2.00,2.00
3190,2.00,2.00
3194,2.00,2.00
3198,1.95,1.95
3203,1.83,1.83
3207,1.77,1.77
3211,1.76,1.76
3215,1.73,1.73
3219,1.71,1.71
3223,1.67,1.67
3227,1.59,1.59
3231,1.51,1.51
3236,1.43,1.43
3240,1.35,1.35
3245,1.32,1.32
3249,1.30,1.30
3253,1.33,1.33
3257,1.29,1.29
3261,1.33,1.33
3265,1.35,1.35
3269,1.41,1.41
3273,1.47,1.47
3277,1.54,1.54
3281,1.58,1.58
3286,1.58,1.58
3290,1.59,1.59
3294,1.49,1.49
3298,1.44,1.44
3303,1.36,1.36
3307,1.18,1.18
3311,1.02,1.02
3315,0.87,0.87
3319,0.68,0.68
3323,0.42,0.42
3328,0.21,0.21
3332,-0.05,-0.05
3337,-0.13,-0.13
3341,-0.41,-0.41
3346,-0.70,-0.70
3350,-0.96,-0.96
3355,-1.16,-1.16
3359,-1.37,-1.37
3364,-1.31,-1.31
3369,-1.74,-1.74
3374,-1.82,-1.82
3379,-1.94,-1.94
3383,-1.99,-1.99
3388,-2.00,-2.00
3392,-2.00,-2.00
3397,-2.00,-2.00
3402,-2.00,-2.00
3406,-2.00,-2.00
3411,-2.00,-2.00
3416,-2.00,-2.00
3421,-2.00,-2.00
3425,-2.00,-2.00
3430,-2.00,-2.00
3435,-2.00,-2.00
3439,-2.00,-2.00
3444,-2.00,-2.00
3448,-2.00,-2.00
3453,-1.94,-1.94
3458,-1.83,-1.83
3463,-1.74,-1.74
3468,-1.69,-1.69
3472,-1.68,-1.68
3477,-1.69,-1.69
3481,-1.72,-1.72
3486,-1.71,-1.71
3490,-1.71,-1.71
3495,-1.67,-1.67
3501,-1.74,-1.74
3505,-1.79,-1.79
3510,-1.85,-1.85
3514,-1.89,-1.89
3519,-1.90,-1.90
3523,-1.89,-1.89
3528,-1.85,-1.85
3532,-1.79,-1.79
3537,-1.75,-1.75
3543,-1.69,-1.69
3547,-1.62,-1.62
3552,-1.48,-1.48
3556,-1.33,-1.33
3561,-1.19,-1.19
3565,-0.97,-0.97
3570,-0.74,-0.74
3575,-0.43,-0.43
3579,-0.04,-0.04
3585,0.32,0.32
3589,0.61,0.61
3593,0.92,0.92
3597,1.20,1.20
3601,1.47,1.47
3605,1.67,1.67
3609,2.00,2.00
3613,2.00,2.00
3617,2.00,2.00
3621,2.00,2.00
3625,2.00,2.00
3630,2.00,2.00
3635,2.00,2.00
3639,2.00,2.00
3643,2.00,2.00
3647,1.94,1.94
3651,1.82,1.82
3655,1.75,1.75
3659,1.62,1.62
3663,1.57,1.57
3667,1.53,1.53
3672,1.51,1.51
3676,1.53,1.53
3680,1.60,1.60
3684,1.68,1.68
3688,1.79,1.79
3692,1.81,1.81
3696,1.82,1.82
3701,1.81,1.81
3705,1.81,1.81
3709,1.80,1.80
3714,1.71,1.71
3718,1.64,1.64
3722,1.59,1.59
3726,1.57,1.57
3730,1.55,1.55
3734,1.60,1.60
3738,1.60,1.60
3742,1.56,1.56
3746,1.62,1.62
3750,1.51,1.51
3755,1.41,1.41
3759,1.33,1.33
3763,1.18,1.18
3768,0.96,0.96
3772,0.77,0.77
3776,0.61,0.61
3780,0.47,0.47
3784,0.34,0.34
3788,0.24,0.24
3792,0.04,0.04
3796,-0.12,-0.12
3802,-0.35,-0.35
3806,-0.63,-0.63
3811,-1.01,-1.01
3815,-1.40,-1.40
3820,-1.39,-1.39
3824,-1.78,-1.78
3829,-1.97,-1.97
3833,-2.00,-2.00
3838,-2.00,-2.00
3844,-2.00,-2.00
3848,-2.00,-2.00
3853,-2.00,-2.00
3857,-2.00,-2.00
3862,-2.00,-2.00
3866,-2.00,-2.00
3871,-2.00,-2.00
3876,-2.00,-2.00
3880,-2.00,-2.00
3886,-1.90,-1.90
3890,-1.76,-1.76
3895,-1.63,-1.63
3900,-1.57,-1.57
3904,-1.57,-1.57
3909,-1.63,-1.63
3913,-1.72,-1.72
3918,-1.80,-1.80
3922,-1.90,-1.90
3928,-1.98,-1.98
3932,-2.00,-2.00
3937,-2.00,-2.00
3942,-2.00,-2.00
3946,-2.00,-2.00
3951,-2.00,-2.00
3955,-1.97,-1.97
3960,-1.89,-1.89
3964,-1.98,-1.98
3970,-2.00,-2.00
3975,-2.00,-2.00
3979,-2.00,-2.00
3984,-2.00,-2.00
3988,-2.00,-2.00
3993,-2.00,-2.00
3997,-2.00,-2.00
4002,-1.88,-1.88
4007,-1.82,-1.82
4012,-1.74,-1.74
4017,-1.59,-1.59
4021,-1.46,-1.46
4026,-1.28,-1.28
4030,-1.06,-1.06
4035,-0.82,-0.82
4040,-0.55,-0.55
4044,-0.20,-0.20
4049,0.11,0.11
4054,0.60,0.60
4058,0.99,0.99
4062,1.40,1.40
4066,1.69,1.69
4070,2.00,2.00
4074,2.00,2.00
4078,2.00,2.00
4082,2.00,2.00
4086,2.00,2.00
4090,2.00,2.00
4094,2.00,2.00
4099,2.00,2.00
4104,2.00,2.00
4108,2.00,2.00
4112,2.00,2.00
4116,2.00,2.00
4120,1.85,1.85
4124,1.62,1.62
4128,1.43,1.43
4132,1.33,1.33
4136,1.22,1.22
4141,1.15,1.15
4145,1.07,1.07
4149,1.01,1.01
4153,0.99,0.99
4157,0.99,0.99
4161,1.03,1.03
4165,1.06,1.06
4170,1.11,1.11
4174,1.18,1.18
4178,1.23,1.23
4183,1.29,1.29
4187,1.37,1.37
4191,1.42,1.42
4195,1.50,1.50
4199,1.53,1.53
4203,1.55,1.55
4207,1.53,1.53
4211,1.52,1.52
4215,1.39,1.39
4219,1.31,1.31
4224,1.18,1.18
4228,0.96,0.96
4232,0.68,0.68
4237,0.37,0.37
4241,0.19,0.19
4245,0.00,0.00
4249,-0.24,-0.24
4253,-0.43,-0.43
4258,-0.60,-0.60
4262,-0.80,-0.80
4268,-1.07,-1.07
4273,-1.04,-1.04
4277,-1.42,-1.42
4282,-1.59,-1.59
4286,-1.75,-1.75
4291,-1.84,-1.84
4295,-1.93,-1.93
4300,-2.00,-2.00
4305,-2.00,-2.00
4310,-2.00,-2.00
4315,-2.00,-2.00
4319,-2.00,-2.00
4324,-2.00,-2.00
4328,-2.00,-2.00
4333,-2.00,-2.00
4338,-2.00,-2.00
4342,-2.00,-2.00
4347,-2.00,-2.00
4352,-2.00,-2.00
4357,-2.00,-2.00
4361,-1.96,-1.96
4366,-1.81,-1.81
4371,-1.70,-1.70
4375,-1.63,-1.63
4380,-1.57,-1.57
4384,-1.54,-1.54
4389,-1.56,-1.56
4393,-1.58,-1.58
4399,-1.63,-1.63
4404,-1.70,-1.70
4408,-1.70,-1.70
4413,-1.70,-1.70
4417,-1.64,-1.64
4422,-1.58,-1.58
4426,-1.88,-1.88
4431,-2.00,-2.00
4436,-2.00,-2.00
4441,-2.00,-2.00
4446,-2.00,-2.00
4450,-2.00,-2.00
4455,-2.00,-2.00
4459,-2.00,-2.00
4464,-1.99,-1.99
4469,-1.92,-1.92
4473,-1.81,-1.81
4478,-1.73,-1.73
4483,-1.61,-1.61
4488,-1.44,-1.44
4492,-1.26,-1.26
4497,-0.96,-0.96
4502,-0.60,-0.60
4506,-0.32,-0.32
4511,-0.02,-0.02
4515,0.27,0.27
4519,0.56,0.56
4524,0.85,0.85
4528,1.09,1.09
4532,1.41,1.41
4537,1.83,1.83
4541,2.00,2.00
4545,2.00,2.00
4549,2.00,2.00
4553,2.00,2.00
4557,2.00,2.00
4561,2.00,2.00
4566,2.00,2.00
4570,2.00,2.00
4574,2.00,2.00
4578,2.00,2.00
4582,2.00,2.00
4586,2.00,2.00
4590,1.89,1.89
4594,1.72,1.72
4599,1.55,1.55
4603,1.40,1.40
4608,1.27,1.27
4612,1.18,1.18
4616,1.10,1.10
4620,1.04,1.04
4624,1.03,1.03
4628,1.03,1.03
4632,1.04,1.04
4636,1.07,1.07
4640,1.12,1.12
4644,1.15,1.15
4648,1.20,1.20
4653,1.17,1.17
4657,1.24,1.24
4661,1.25,1.25
4666,1.31,1.31
4670,1.35,1.35
4674,1.40,1.40
4678,1.37,1.37
4682,1.38,1.38
4686,1.37,1.37
4690,1.28,1.28
4695,1.18,1.18
4699,1.05,1.05
4703,0.88,0.88
4707,0.68,0.68
4711,0.49,0.49
4715,0.34,0.34
4719,0.11,0.11
4723,-0.02,-0.02
4728,-0.09,-0.09
4733,-0.30,-0.30
4738,-0.43,-0.43
4743,-0.57,-0.57
4747,-0.66,-0.66
4752,-0.80,-0.80
4756,-1.25,-1.25
4761,-1.01,-1.01
4766,-1.29,-1.29
4770,-1.42,-1.42
4775,-1.49,-1.49
4780,-1.62,-1.62
4785,-1.74,-1.74
4789,-1.81,-1.81
4794,-1.93,-1.93
4798,-2.00,-2.00
4803,-2.00,-2.00
4808,-2.00,-2.00
4812,-2.00,-2.00
4817,-2.00,-2.00
4822,-2.00,-2.00
4827,-2.00,-2.00
4831,-2.00,-2.00
4836,-2.00,-2.00
4841,-2.00,-2.00
4845,-2.00,-2.00
4850,-2.00,-2.00
4854,-1.93,-1.93
4859,-1.79,-1.79
4864,-1.80,-1.80
4869,-1.81,-1.81
4874,-1.87,-1.87
4878,-1.95,-1.95
4883,-2.00,-2.00
